exp_id,group,name,task,PSNR,SSIM,LPIPS,CLIP_Score,weighted_score,n,skipped
A00_baseline,incremental,Baseline (SD1.5 only),object_removal,14.2271,0.5476,0.3162,24.3224,45.4035,17,False
A01_M1,incremental,+M1 DSP Mask,object_removal,14.4047,0.5557,0.3121,23.1182,45.2035,17,False
A02_M1M3,incremental,+M1+M3 DSP Enhance,object_removal,14.1935,0.5487,0.3158,24.6935,45.5694,17,False
A03_M1M3M4,incremental,+M1+M3+M4 LapBlend,object_removal,17.18,0.7276,0.2436,23.6706,50.4359,17,False
A04_M1M3M4M5,incremental,+M1+M3+M4+M5 ConvexHull,object_removal,16.0859,0.6718,0.2994,24.3918,47.8865,17,False
A05_M1M3M4M5M7,incremental,+M1+M3+M4+M5+M7 RmPrompt,object_removal,15.8206,0.6625,0.3311,22.2253,45.6071,17,False
A06_M1M3M4M5M7M9,incremental,+M1+M3+M4+M5+M7+M9 ColorMatch,object_removal,16.3,0.6945,0.3171,22.2424,46.4165,17,False
A07_M1M3M4M5M7M9M10,incremental,+M1+M3+M4+M5+M7+M9+M10 LaMa,object_removal,16.5088,0.6951,0.336,22.0112,45.6176,17,False
A08_full_no_cn,incremental,Full (no ControlNet),object_removal,16.4759,0.6937,0.336,22.0847,45.6265,17,False
C00_full,leave_one_out,Full Model (all ON),object_removal,16.4759,0.6937,0.336,22.0847,45.6265,17,False
C01_noM1,leave_one_out,Full - M1,object_removal,16.6135,0.7156,0.2599,21.2371,48.5782,17,False
C02_noM3,leave_one_out,Full - M3,object_removal,16.5824,0.6927,0.3313,21.9394,45.7676,17,False
C03_noM4,leave_one_out,Full - M4,object_removal,14.9218,0.6574,0.3821,22.3824,43.2282,17,False
C04_noM5,leave_one_out,Full - M5,object_removal,16.5965,0.7154,0.2609,20.7882,48.3512,17,False
C05_noM6,leave_one_out,Full - M6,object_removal,16.4759,0.6937,0.336,22.0847,45.6265,17,False
C06_noM7,leave_one_out,Full - M7,object_removal,16.4759,0.6937,0.336,23.4229,46.1635,17,False
C07_noM9,leave_one_out,Full - M9,object_removal,16.04,0.6908,0.3546,22.1353,44.8082,17,False
C08_noM10,leave_one_out,Full - M10 (SD1.5 fallback),object_removal,17.6488,0.7053,0.2591,22.2606,49.1218,17,False
C09_noM11,leave_one_out,Full - M11,object_removal,16.5088,0.6951,0.3361,22.0424,45.6271,17,False
D01_lama_only,key_combo,LaMa only,object_removal,14.8941,0.6851,0.336,21.9788,45.1812,17,False
D02_lama_ocr,key_combo,LaMa + OCR,object_removal,14.8941,0.6851,0.336,21.9788,45.1812,17,False
D03_lama_mask_blend,key_combo,LaMa + Mask + Blend,object_removal,16.8941,0.7295,0.2842,22.0218,48.1159,17,False
D04_sd15_full_nolama,key_combo,SD1.5 Full (no LaMa),object_removal,17.63,0.7061,0.2499,22.2776,49.5041,17,False
D06_color_match_only,key_combo,ColorMatch only,object_removal,13.9071,0.5459,0.3178,24.0294,45.1412,17,False
D07_mask_chain,key_combo,Mask Chain (M1+M3+M5),object_removal,13.5406,0.5319,0.3486,24.0759,43.7129,17,False
D08_post_chain,key_combo,Post Chain (M4+M9),object_removal,16.5553,0.7156,0.2517,24.3418,50.1365,17,False
